id,listing,link,mileage,price,is_hybrid,date_found,price_num,mileage_num,year,days_on_market,hybrid_from_text
62,2022 FORD MAVERICK GARANTIA,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12748788,34094,"$31,995",False,2025-07-22,31995,34094,2022,20,False
63,NUEVA Ford Maverick XLT Hybrid 2024 Sunroof,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12781679,0,"$34,995",True,2025-07-22,34995,0,2024,20,True
64,NUEVA Ford Maverick XLT Hybrid 2024 Sunroof,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12781656,0,"$34,995",True,2025-07-22,34995,0,2024,20,True
65,Ford Maverick 2024 FX4,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12781261,21000,"$35,800",False,2025-07-22,35800,21000,2024,20,False
66,Ford Maverick XL 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12781121,,"$33,995",False,2025-07-22,33995,,2025,20,False
67,FORD MAVERICK XL PLUG-IN,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12770766,7,"$31,890",False,2025-07-22,31890,7,,20,False
68,Ford Maverick XLT Hybrid 2024 Liquidación,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12757668,0,"$31,995",True,2025-07-22,31995,0,2024,20,True
69,Ford Maverick XL 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12567483,0,"$29,990",False,2025-07-22,29990,0,2024,20,False
70,Ford Maverick 2024 XLT Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12750200,,"$32,995",False,2025-07-22,32995,,2024,20,False
71,FORD MAVERICK XLT FX4 2022 #3223,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12649770,16620,"$34,999",False,2025-07-22,34999,16620,2022,20,False
72,Ford Maverick 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12778690,,"$31,995",False,2025-07-22,31995,,2022,20,False
73,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12679773,27775,"$25,990",False,2025-07-22,25990,27775,2022,20,False
74,2024 Ford Maverick XLT AWD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12773354,214,"$35,990",False,2025-07-22,35990,214,2024,20,False
75,MAVERICK XLT FX4 LARIAT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12757333,38179,"$36,999",False,2025-07-22,36999,38179,2022,20,False
76,Ford Maverick 2024 XLT CarbonizeGray,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12730611,,"$32,900",False,2025-07-22,32900,,2024,20,False
